movieId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
737,Depresja gangstera,Analyze This,1999,7.00129,54078,2005-04-03,,nie,
749,Oczy szeroko zamknięte,Eyes Wide Shut,1999,7.31106,122316,2015-01-19,9,nie,
751,Rejs,Rejs,1970,7.51705,133813,2020-09-29,5,nie,
753,Córka generała,The General's Daughter,1999,7.08264,17922,2004-10-29,,nie,
759,Gwiezdne wojny,Star Wars,1977,7.89334,352975,2020-08-19,8,nie,
772,Las Vegas Parano,Fear and Loathing in Las Vegas,1998,7.50495,172614,2012-07-01,10,nie,
779,Tarzan,Tarzan,1999,7.39308,74816,2000-06-24,,nie,
781,Dług,Dług,1999,7.75847,156123,2022-07-18,7,nie,
821,Prosta historia,The Straight Story,1999,7.68012,54499,2013-08-19,,nie,
825,Szósty zmysł,The Sixth Sense,1999,7.81236,639032,2004-06-17,,nie,
831,Toy Story 2,Toy Story 2,1999,7.22514,123504,1999-12-17,,nie,
834,Ghost Dog: Droga samuraja,Ghost Dog: The Way of the Samurai,1999,7.25697,41873,2023-03-29,7,nie,
836,American Beauty,American Beauty,1999,7.62997,526875,2015-02-04,7,nie,
837,Podziemny krąg,Fight Club,1999,8.29002,652978,2012-04-07,10,tak,
843,Chłopaki nie płaczą,Chłopaki nie płaczą,2000,7.80838,444262,2007-02-10,,nie,
845,Pi,Pi,1998,7.37456,111679,2021-02-20,8,nie,
858,Podwójne ryzyko,Double Jeopardy,1999,7.04535,37820,2005-10-30,,nie,
860,Stuart Malutki,Stuart Little,1999,6.08215,61654,2004-04-29,,nie,
862,Zielona mila,The Green Mile,1999,8.6328,1053577,2021-12-25,7,nie,
868,Być jak John Malkovich,Being John Malkovich,1999,7.34423,64715,2020-08-06,8,nie,
869,Burzliwe ulice,The Hurricane,1999,7.69839,29853,2006-08-21,,nie,
873,Magnolia,Magnolia,1999,7.4744,47576,2021-01-16,7,nie,
876,American Pie,American Pie,1999,6.49326,371114,2012-02-10,6,nie,
894,Nóż w wodzie,Nóż w wodzie,1961,7.7384,63919,2021-12-31,7,nie,
896,Miś,Miś,1980,7.78034,348668,2024-08-17,7,nie,
905,Casablanca,Casablanca,1942,7.86922,98061,2025-10-01,7,nie,
915,Stalowy gigant,The Iron Giant,1999,7.68351,31540,2020-08-08,7,nie,
933,60 sekund,Gone in Sixty Seconds,2000,7.27699,154662,2005-09-29,,nie,
935,Annie Hall,Annie Hall,1977,7.72949,65627,2017-09-16,9,nie,
936,Gladiator,Gladiator,2000,8.14124,796903,2012-02-10,8,nie,
938,Mission: Impossible 2,Mission: Impossible II,2000,6.33915,93162,2007-10-30,6,nie,
942,Fantazja 2000,Fantasia/2000,1999,7.55895,3435,2021-03-14,7,nie,
944,Patriota,The Patriot,2000,7.54278,148335,2005-07-18,,nie,
955,Uciekające kurczaki,Chicken Run,2000,6.25619,58317,2001-03-18,,nie,
957,Sekta,The Skulls,2000,6.49485,17282,2012-06-15,8,nie,
964,Droga do El Dorado,The Road to El Dorado,2000,7.405,55345,2020-11-23,6,nie,
971,Księżniczka Mononoke,Mononoke-hime,1997,8.00259,95139,2018-03-21,8,nie,
980,"Obcy - 8. pasażer ""Nostromo""",Alien,1979,7.86892,302177,2020-06-26,8,nie,
989,Trainspotting,Trainspotting,1996,7.7979,239475,2020-08-11,8,nie,
991,Prawdziwe kłamstwa,True Lies,1994,7.11981,49093,2006-10-24,,nie,
992,Terminator 2,Terminator 2: Judgment Day,1991,7.63695,282540,2012-02-04,9,nie,
994,Obcy - decydujące starcie,Aliens,1986,7.61686,215636,2020-06-26,7,nie,
995,Elektroniczny morderca,The Terminator,1984,7.3719,258437,2020-06-24,7,nie,
997,Rambo 2,Rambo: First Blood Part II,1985,7.02183,74132,2007-03-05,,nie,
998,Forrest Gump,Forrest Gump,1994,8.55021,1042469,2016-02-01,8,nie,
999,Con Air - lot skazańców,Con Air,1997,7.02265,84010,2014-11-08,7,nie,
1001,Mission: Impossible,Mission: Impossible,1996,7.10176,127272,2025-01-21,7,nie,
1002,Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,1994,7.66694,315146,2021-01-17,8,nie,
1003,Firma,The Firm,1993,7.14112,39441,2006-07-19,,nie,
1010,Top Gun,Top Gun,1986,7.18759,142113,2023-01-10,8,nie,
1012,Speed: Niebezpieczna prędkość,Speed,1994,6.78576,137639,2004-06-17,,nie,
1019,Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,1975,8.46908,437297,2015-01-17,8,nie,
1020,Lśnienie,The Shining,1980,7.80737,435802,2017-01-18,10,nie,
1025,Czarownice z Eastwick,The Witches of Eastwick,1987,6.94394,43093,2025-03-29,7,nie,
1027,Chinatown,Chinatown,1974,7.85043,74643,2023-11-23,7,nie,
1029,Kasyno,Casino,1995,8.11925,166798,2016-08-24,9,nie,
1031,Prawo Bronxu,A Bronx Tale,1993,7.89926,76741,2021-05-01,9,nie,
1033,Chłopcy z ferajny,Goodfellas,1990,8.31536,326642,2015-01-20,9,nie,
1036,Nietykalni,The Untouchables,1987,7.74691,103140,2018-02-01,6,nie,
1038,Dawno temu w Ameryce,Once Upon a Time in America,1984,8.18098,118374,2020-11-04,8,nie,
1039,Pulp Fiction,Pulp Fiction,1994,8.34144,718595,2012-02-10,9,nie,
1040,Bad Boys,Bad Boys,1995,7.40824,173456,2005-03-11,,nie,
1044,Wściekły Byk,Raging Bull,1980,7.82974,67132,2023-06-28,7,nie,
1045,Łowca jeleni,The Deer Hunter,1978,8.06784,135227,2016-01-24,9,nie,
1046,Taksówkarz,Taxi Driver,1976,7.83028,247987,2015-11-05,8,nie,
1047,Milczenie owiec,The Silence of the Lambs,1991,8.25294,719640,2014-04-25,9,nie,
1048,Skazani na Shawshank,The Shawshank Redemption,1994,8.8036,979733,2012-03-31,9,nie,
1049,Urodzeni mordercy,Natural Born Killers,1994,7.58144,111267,2016-01-31,6,tak,
1065,Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,8.03442,743569,2013-09-28,8,nie,
1067,Lęk pierwotny,Primal Fear,1996,7.8762,158233,2015-01-16,8,nie,
1068,Pluton,Platoon,1986,8.11496,137580,2016-11-02,7,tak,
1070,Miasteczko Twin Peaks. Ogniu krocz za mną.,Twin Peaks: Fire Walk with Me,1992,7.36823,51283,2020-09-06,5,nie,
1075,American Psycho,American Psycho,2000,7.28071,216446,2015-10-05,9,nie,
1077,Gruby i chudszy 2: Rodzina Klumpów,Nutty Professor II: The Klumps,2000,5.63129,40577,2004-02-03,,nie,
1083,Romeo musi umrzeć,Romeo Must Die,2000,6.81421,35879,2005-10-18,,nie,
1085,Blue Velvet,Blue Velvet,1986,7.51385,62713,2023-06-21,7,nie,
1088,Głowa do wycierania,Eraserhead,1977,7.32542,29236,2020-11-23,4,nie,
1089,Ojciec chrzestny,The Godfather,1972,8.63434,582162,2016-01-23,8,nie,
1090,Ojciec chrzestny 2,The Godfather: Part II,1974,8.46527,293603,2016-01-23,9,nie,
1091,Ojciec chrzestny III,The Godfather: Part III,1990,7.93478,188331,2016-01-23,6,nie,
1092,Czas Apokalipsy,Apocalypse Now,1979,8.16183,194885,2012-02-10,9,tak,
1096,Monty Python i Święty Graal,Monty Python and the Holy Grail,1975,7.96655,174700,2020-10-21,6,nie,
1099,Żywot Briana,Life of Brian,1979,7.89058,189761,2021-12-27,8,nie,
1122,Wesele,Wesele,1972,6.86112,29154,2010-04-19,,nie,
1139,Szamanka,Szamanka,1996,4.22178,12314,2024-06-28,6,nie,
1148,Spirala,Spirala,1978,6.94326,5182,2020-09-28,3,nie,
1151,Rok spokojnego słońca,Rok spokojnego słońca,1984,7.02986,2780,2020-09-19,6,nie,
1157,Krótki film o zabijaniu,Krótki film o zabijaniu,1987,7.88798,81367,2021-05-05,10,nie,
1158,Krótki film o miłości,Krótki film o miłości,1988,7.83023,48826,2021-05-05,9,nie,
1160,Trzy kolory: Biały,Trois couleurs Blanc,1994,7.69302,50525,2020-09-18,8,tak,
1161,Trzy kolory: Niebieski,Trois couleurs Bleu,1993,7.69322,72328,2020-09-18,8,nie,
1162,Trzy kolory: Czerwony,Trois couleurs: Rouge,1994,7.80908,47737,2020-09-18,8,nie,
1163,Seksmisja,Seksmisja,1983,7.76051,669905,2022-09-11,9,tak,
1175,Znachor,Znachor,1981,7.68174,160263,2012-02-10,,nie,
1181,"Ucieczka z kina ""Wolność""","Ucieczka z kina ""Wolność""",1990,7.48708,19317,2020-09-28,9,tak,
1200,Przesłuchanie,Przesłuchanie,1982,8.04239,57346,2022-09-04,7,nie,
1211,Lista Schindlera,Schindler's List,1993,8.39527,377848,2016-08-27,9,tak,
1212,Jurassic Park 3D,Jurassic Park,1993,7.04425,340785,2012-02-10,8,nie,
1213,Indiana Jones i ostatnia krucjata,Indiana Jones and the Last Crusade,1989,7.71628,256490,2004-05-16,,nie,
1216,Indiana Jones: Poszukiwacze zaginionej Arki,Raiders of the Lost Ark,1981,7.72108,283414,2004-04-18,,nie,
1217,Szczęki,Jaws,1975,7.05264,110500,2006-06-25,,nie,
1225,Blues Brothers,The Blues Brothers,1980,7.59831,106943,2004-05-30,,nie,
1233,Ścigany,The Fugitive,1993,7.64503,134323,2005-07-19,,nie,
1236,Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape,1993,7.76462,307944,2021-04-28,8,nie,
1238,Pretty Woman,Pretty Woman,1990,7.39557,208588,2003-11-27,,nie,
1253,Fargo,Fargo,1996,7.61524,122956,2012-02-10,8,nie,
1257,Tańczący z wilkami,Dances with Wolves,1990,7.79393,119152,2004-09-30,,nie,
1270,Brutalna śmierć,Die Hard,1988,7.54437,233117,2020-09-15,7,nie,
1271,Szklana pułapka 2,Die Hard 2,1990,7.34726,114512,2020-09-16,6,nie,
1272,Szklana pułapka 3,Die Hard: With a Vengeance,1995,7.37304,113915,2020-09-17,8,nie,
1275,Mechaniczna pomarańcza,A Clockwork Orange,1971,7.90377,224960,2015-01-17,10,nie,
1289,Okręt,Das Boot,1981,7.83905,48494,2021-09-21,8,nie,
1299,Klute,Klute,1971,7.13527,4310,2023-11-16,9,nie,
1308,Zabójcza broń,Lethal Weapon,1987,7.5658,133083,2012-02-21,,nie,
1309,Zabójcza broń 2,Lethal Weapon 2,1989,7.49822,90026,2004-07-30,,nie,
1310,Zabójcza broń 3,Lethal Weapon 3,1992,7.39175,76861,2005-05-19,,nie,
1315,Egzorcysta,The Exorcist,1973,7.51989,133285,2023-10-12,7,nie,
1317,Pieskie popołudnie,Dog Day Afternoon,1975,7.67892,48163,2021-12-30,8,nie,
1318,Śniadanie u Tiffany'ego,Breakfast at Tiffany's,1961,7.74902,160488,2017-12-25,8,nie,
1320,Ptaki,The Birds,1963,7.45055,94890,2024-04-17,8,nie,
1321,Psychoza,Psycho,1960,8.05844,150697,2020-08-13,7,nie,
1322,Szał,Frenzy,1972,7.24417,7417,2024-06-21,7,nie,
1323,Zawrót głowy,Vertigo,1958,7.73565,40250,2020-08-13,8,nie,
1324,Okno na podwórze,Rear Window,1954,7.89534,64698,2021-12-14,8,nie,
1326,Przekręt,Snatch,2000,7.94554,266432,2024-09-05,8,nie,
1329,Dinozaur,Dinosaur,2000,7.14969,21818,2021-10-20,5,nie,
1392,Miętowy cukierek,Bakha satang,1999,7.66215,1699,2022-02-15,7,nie,
1416,Straszny film,Scary Movie,2000,6.30431,280417,2022-05-29,8,nie,
1417,Tańcząc w ciemnościach,Dancer in the Dark,2000,7.83645,60961,2020-09-13,7,nie,
1430,Poznaj mojego tatę,Meet the Parents,2000,6.92571,128160,2006-05-02,,nie,
1435,6-ty dzień,The 6th Day,2000,6.25077,17869,2007-03-18,,nie,
1436,102 Dalmatyńczyki,102 Dalmatians,2000,6.18609,34887,2002-07-19,,nie,
1444,Czerwona planeta,Red Planet,2000,6.12982,22015,2004-09-02,,nie,
1452,W pustyni i w puszczy,W pustyni i w puszczy,2001,5.66355,67332,2005-07-26,,nie,
1454,Siódma pieczęć,Det sjunde inseglet,1957,7.77607,55308,2021-12-31,8,nie,
1458,2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,7.74073,144797,2017-09-14,10,nie,
1459,Pamięć absolutna,Total Recall,1990,7.1821,73934,2007-01-17,,nie,
1460,RoboCop,RoboCop,1987,6.87466,61656,2025-11-27,9,nie,
1466,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,2001,6.40928,110491,2006-02-11,,nie,
1470,Cast Away - poza światem,Cast Away,2000,7.54274,594981,2012-02-10,8,nie,
1471,Billy Elliot,Billy Elliot,2000,7.6285,150291,2006-07-16,,nie,
1495,Mad Max,Mad Max,1979,6.86554,67539,2014-10-07,7,nie,
1496,Mad Max 2 - Wojownik szos,Mad Max 2,1981,7.21605,58893,2014-10-07,8,tak,
1497,Mad Max 3 - Pod kopułą gromu,Mad Max Beyond Thunderdome,1985,6.61019,40969,2014-10-07,4,nie,
1502,Hannibal,Hannibal,2001,7.623,360675,2014-05-01,6,nie,
1508,Spragnieni miłości,Fa yeung nin wa,2000,7.90343,29523,2021-11-28,7,nie,
3494,300 mil do nieba,300 mil do nieba,1989,7.4903,24326,2020-09-19,4,nie,
3500,48 godzin,48 Hrs.,1982,7.01808,20189,2003-10-24,,nie,
3673,A.I. Sztuczna inteligencja,A.I. Artificial Intelligence,2001,7.24995,193413,2005-03-18,,tak,
3690,Ace Ventura: Psi detektyw,Ace Ventura: Pet Detective,1994,6.26762,310221,2012-02-10,,nie,
3734,Akademia pana Kleksa,Akademia pana Kleksa,1983,6.9308,59278,2005-12-18,,nie,
3735,Akademia Policyjna 4: Patrol obywatelski,Police Academy 4: Citizens on Patrol,1987,6.53427,28478,2004-06-17,,nie,
3789,Aladyn,Aladdin,1992,7.42353,67624,2001-06-19,,nie,
3808,Amator,Amator,1979,7.95747,36704,2025-04-05,9,nie,
3813,Amblin',Amblin',1968,5.75449,167,2021-03-12,6,nie,
3949,Atak na posterunek 13,Assault on Precinct 13,1976,6.93605,5035,2022-11-04,7,nie,
3958,Atlantyda - zaginiony ląd,Atlantis: The Lost Empire,2001,7.41409,63663,2021-10-04,7,nie,
4038,Przygody psa Balto,Balto,1995,7.57732,11472,2020-09-10,7,nie,
4074,Batman Forever,Batman Forever,1995,6.08441,77867,2003-06-17,,nie,
4172,Człowiek przyszłości,Bicentennial Man,1999,7.19554,28572,2005-11-19,,nie,
4225,Blade: Wieczny łowca II,Blade II,2002,6.92843,82016,2022-11-08,4,nie,
4292,Bohater ostatniej akcji,Last Action Hero,1993,6.47323,31099,2004-11-26,,nie,
4357,Brudny Harry,Dirty Harry,1971,7.69845,84448,2021-01-10,9,nie,
4401,Byłem żołnierzem,Byłem żołnierzem,1970,7.52577,2037,2021-05-06,8,nie,
4406,Dawno temu na Dzikim Zachodzie,C'era una volta il West,1968,7.99688,52488,2020-11-04,9,nie,
4425,Calineczka,Thumbelina,1994,7.11344,8101,2001-07-24,,nie,
4608,Stan zagrożenia,Clear and Present Danger,1994,6.98574,17748,2005-10-11,,nie,
4635,Na własną rękę,Collateral Damage,2002,6.23853,14451,2006-05-15,,nie,
4648,Commando,Commando,1985,6.73767,39401,2007-08-18,,nie,
4792,Czas patriotów,Patriot Games,1992,7.2401,29758,2005-08-08,,nie,
4799,Czerwona gorączka,Red Heat,1988,6.41806,14943,2005-07-19,,nie,
4828,Człowiek-demolka,Demolition Man,1993,6.82673,71650,2002-12-30,,nie,
4833,Człowiek z blizną,Scarface,1983,8.23992,281010,2012-07-05,9,nie,
4968,Na samym dnie,Deep End,1970,7.32371,3880,2024-06-03,7,nie,
4976,Dekalog III,Dekalog III,1988,6.97667,20485,2021-04-28,9,nie,
4977,Dekalog V,Dekalog V,1988,8.08194,37491,2021-05-03,10,nie,
4978,Dekalog VIII,Dekalog VIII,1988,7.53597,18529,2021-05-09,10,nie,
4979,Dekalog X,Dekalog X,1988,8.06806,26536,2021-05-12,7,nie,
5103,"Dobry, zły i brzydki","Il buono, il brutto, il cattivo.",1966,8.21442,112349,2016-09-02,8,nie,
5185,"Doktor Strangelove, lub jak przestałem się martwić i pokochałem bombę",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,7.96141,46906,2017-09-13,8,nie,
5228,Duch,Poltergeist,1982,6.93703,39637,2023-10-26,6,nie,
5289,Dzień Niepodległości,Independence Day,1996,7.18702,228637,2003-04-14,,nie,
5293,Dzień świstaka,Groundhog Day,1993,7.21201,154769,2006-11-27,,nie,
5325,Długie pożegnanie,The Long Goodbye,1973,6.98453,3944,2023-09-23,7,nie,
5355,Edward Nożycoręki,Edward Scissorhands,1990,7.71236,414084,2021-10-19,9,tak,
5409,Nowe szaty króla,The Emperor's New Groove,2000,7.42417,78574,2020-09-16,7,nie,
5421,Wróg u bram,Enemy at the Gates,2001,7.88343,237095,2012-02-10,,nie,
5432,Epidemia,Outbreak,1995,6.6182,49067,2004-11-17,,nie,
5438,Egzekutor,Eraser,1996,6.4053,20992,2007-08-17,,nie,
5450,Ucieczka z Nowego Jorku,Escape from New York,1981,6.82465,29074,2006-04-12,,nie,
5504,Fabryka,Fabryka,1970,6.28627,1020,2021-05-06,7,nie,
5507,Faceci w czerni,Men in Black,1997,7.1153,292027,2015-01-19,7,nie,
5532,Fan,The Fan,1996,7.08665,27859,2006-09-23,,nie,
5718,Frankenweenie,Frankenweenie,1984,7.32827,6714,2021-10-09,6,nie,
5778,Gangi Nowego Jorku,Gangs of New York,2002,7.08641,151992,2018-02-27,6,nie,
5848,Gliniarz w przedszkolu,Kindergarten Cop,1990,5.99712,43475,2005-07-18,,nie,
5849,Gliniarz z Beverly Hills,Beverly Hills Cop,1984,7.32829,87527,2008-02-17,,nie,
5850,Gliniarz z Beverly Hills 2,Beverly Hills Cop II,1987,7.17316,54725,2004-06-25,,nie,
5851,Gliniarz z Beverly Hills III,Beverly Hills Cop III,1994,6.93406,40869,2004-05-16,,nie,
5852,Gliniarz z metropolii,Metro,1997,6.28631,6905,2003-08-27,,nie,
5955,Gruby i chudszy,The Nutty Professor,1996,6.0579,90558,2003-01-19,,nie,
5994,Głupi i głupszy,Dumb & Dumber,1994,6.09117,295027,2012-02-10,7,nie,
6001,Hair,Hair,1979,7.78433,63866,2014-10-31,9,nie,
6143,Kryjówka diabła,Hideaway,1995,5.52991,2123,2019-07-06,1,nie,
6426,Inaczej niż w raju,Stranger Than Paradise,1984,7.51089,13498,2017-07-12,8,nie,
6539,Jakubek i brzoskwinia olbrzymka,James and the Giant Peach,1996,6.93728,1977,2021-10-09,7,nie,
6645,Junior,Junior,1994,5.35779,44118,2005-04-19,,nie,
6663,Kacper,Casper,1995,6.37591,37254,2001-07-19,,nie,
6692,Karate Kid,The Karate Kid,1984,6.73648,37959,2004-01-25,,nie,
6721,Kevin sam w domu,Home Alone,1990,7.14538,436618,2012-02-10,8,nie,
6722,Kevin sam w Nowym Jorku,Home Alone 2: Lost in New York,1992,6.83272,255949,2003-11-26,,nie,
6771,Klaps,Klaps,1976,5.5242,971,2021-05-06,6,nie,
6810,Kolejne 48 godzin,Another 48 Hrs.,1990,6.68133,11981,2004-03-05,,nie,
6827,Koncert życzeń,Koncert życzeń,1967,6.24307,1551,2021-05-06,6,nie,
6876,Król dowcipu,The King of Comedy,1982,7.38209,15156,2021-04-16,9,nie,
6877,"Monkeyshines, No. 1","Monkeyshines, No. 1",1890,3.8209,268,2021-05-10,,nie,
6878,Król Lew,The Lion King,1994,8.25244,608112,2019-01-24,9,nie,
6880,Król Lew 2: Czas Simby,The Lion King II: Simba's Pride,1998,7.52468,104061,1999-06-19,,nie,
6887,Krótki dzień pracy,Krótki dzień pracy,1981,6.92886,1490,2021-09-26,7,nie,
6900,Krytyczna decyzja,Executive Decision,1996,6.47352,16464,2004-02-10,,nie,
6909,Księżniczka łabędzi,The Swan Princess,1994,7.35286,23627,2020-10-11,6,nie,
6916,Książę w Nowym Jorku,Coming to America,1988,6.6803,110253,2005-11-25,,nie,
6964,Najważniejsze to kochać,L'important c'est d'aimer,1975,6.97695,2429,2026-04-07,7,nie,
7316,Liberator,Under Siege,1992,6.46427,31930,2004-02-07,,nie,
7369,Mały Nicki,Little Nicky,2000,6.11179,22990,2012-02-10,7,nie,
7474,M jak morderstwo,Dial M for Murder,1954,7.89065,20173,2021-12-31,7,nie,
7585,Maska,The Mask,1994,6.77644,316622,2004-06-17,,nie,
7603,Matrix Reaktywacja,The Matrix Reloaded,2003,7.21017,246953,2007-05-16,,nie,
7644,Medium,Medium,1985,7.11504,7693,2020-10-03,4,nie,
7656,Memento,Memento,2000,7.5751,203145,2014-06-28,6,nie,
7664,Faceci w czerni 2,Men in Black II,2002,6.75342,137843,2015-01-20,6,nie,
7705,Miasteczko Halloween,The Nightmare Before Christmas,1993,7.6176,84161,2020-09-21,9,nie,
7720,Między Wrocławiem a Zieloną Górą,Między Wrocławiem a Zieloną Górą,1972,5.47584,269,2021-05-06,6,nie,
7738,Raport mniejszości,Minority Report,2002,7.34726,233487,2006-07-19,,nie,
7747,Miss Agent,Miss Congeniality,2000,6.35699,117674,2005-07-14,,nie,
7874,Moulin Rouge!,Moulin Rouge!,2001,7.31422,125488,2025-05-03,8,nie,
7907,Murarz,Murarz,1973,6.88853,1229,2021-05-07,8,nie,
7949,Mystery Train,Mystery Train,1989,7.59974,11355,2024-06-01,8,nie,
7971,Na krawędzi,Cliffhanger,1993,6.77107,35435,2003-07-18,,nie,
7997,Nagłe zderzenie,Sudden Impact,1983,7.38621,17330,2021-01-13,7,nie,
8078,Nico,Above the Law,1988,6.85431,25246,2003-10-31,,nie,
8106,Nienawiść,La haine,1995,7.90123,51511,2020-11-24,10,tak,
8228,Cinema Paradiso,Nuovo cinema Paradiso,1988,8.10203,78285,2023-02-13,9,tak,
